"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C620","2019-09-23 00:00:00","19.000","125.000","0.700","21.200","0.920","1012.400","","0.000","-99.000","-99.000","-99.000","27.200","","19.900",""
"C0I360","2019-09-23 00:00:00","300.000","30.000","1.700","23.400","0.770","979.200","","0.000","-99.000","-99.000","-99.000","29.800","","21.600",""
"C0M810","2019-09-23 00:00:00","1354.000","201.000","0.700","17.100","0.950","867.900","","0.500","-99.000","-99.000","-99.000","19.800","","15.900",""
"C0AC80","2019-09-23 00:00:00","40.000","0.000","0.000","21.000","0.930","1011.300","","0.000","-99.000","-99.000","-99.000","27.100","","19.500",""
"CM0140","2019-09-23 00:00:00","26.000","31.000","2.100","22.900","0.830","1013.100","","24.000","-99.000","-99.000","-99.000","26.300","","22.900",""
"C0SA20","2019-09-23 00:00:00","857.000","1.000","3.400","18.600","1.000","920.300","","73.000","-99.000","-99.000","-99.000","20.100","","18.600",""
"C0K490","2019-09-23 00:00:00","91.000","76.000","0.400","23.400","0.810","1003.500","","0.000","-99.000","-99.000","-99.000","30.800","","22.500",""
"C0V820","2019-09-23 00:00:00","441.000","23.000","0.400","21.300","0.990","966.500","","0.000","-99.000","-99.000","-99.000","28.700","","21.100",""
"C0S810","2019-09-23 00:00:00","65.000","359.000","1.700","22.400","0.950","1010.400","","35.000","-99.000","-99.000","-99.000","25.900","","22.100",""
"C0R580","2019-09-23 00:00:00","10.000","102.000","0.300","25.700","0.770","1012.500","","0.000","-99.000","-99.000","-99.000","30.000","","24.300",""
"C0Z330","2019-09-23 00:00:00","488.000","349.000","2.200","19.800","0.990","962.500","","13.000","-99.000","-99.000","-99.000","23.700","","19.800",""
"C0E590","2019-09-23 00:00:00","40.000","43.000","1.800","23.400","0.730","1009.300","","0.000","-99.000","-99.000","-99.000","28.700","","19.800",""
"C0D540","2019-09-23 00:00:00","227.000","48.000","0.300","20.500","0.840","990.900","","0.000","-99.000","-99.000","-99.000","27.100","","19.600",""
"C0K420","2019-09-23 00:00:00","42.000","353.000","1.000","22.500","0.730","1009.300","","0.000","-99.000","-99.000","-99.000","30.100","","22.400",""
"C0Z180","2019-09-23 00:00:00","34.000","307.000","1.700","23.200","0.730","1012.000","","16.000","-99.000","-99.000","-99.000","24.900","","21.600",""
"C0AD10","2019-09-23 00:00:00","27.000","42.000","1.100","23.800","0.730","1012.300","","0.000","-99.000","-99.000","-99.000","27.000","","21.000",""
"C0M720","2019-09-23 00:00:00","225.000","336.000","0.400","22.200","0.830","988.500","","0.000","-99.000","-99.000","-99.000","29.100","","21.400",""
"C0V450","2019-09-23 00:00:00","51.000","0.000","0.000","23.300","0.990","1007.700","","0.000","-99.000","-99.000","-99.000","31.500","","23.300",""
"C0E610","2019-09-23 00:00:00","850.000","16.000","0.500","17.500","0.790","921.300","","0.000","-99.000","-99.000","-99.000","23.900","","16.900",""
"C0V610","2019-09-23 00:00:00","22.000","351.000","0.700","25.700","0.740","1011.000","","0.000","-99.000","-99.000","-99.000","30.300","","24.000",""
"C0Z310","2019-09-23 00:00:00","59.000","355.000","1.100","21.100","0.990","1009.600","","16.000","-99.000","-99.000","-99.000","23.600","","20.900",""
"C0S700","2019-09-23 00:00:00","507.000","57.000","0.800","20.000","1.000","959.700","","49.000","-99.000","-99.000","-99.000","23.400","","19.900",""
"C0T9G0","2019-09-23 00:00:00","605.000","40.000","1.400","18.100","0.990","950.400","","19.500","-99.000","-99.000","-99.000","21.500","","18.100",""
"C0U520","2019-09-23 00:00:00","517.000","238.000","0.900","19.200","0.990","960.600","","0.000","-99.000","-99.000","-99.000","26.700","","19.100",""
"C0E750","2019-09-23 00:00:00","62.000","40.000","1.800","24.200","0.650","1006.400","","0.000","-99.000","-99.000","-99.000","28.500","","21.000",""
"C0W140","2019-09-23 00:00:00","21.000","59.000","3.000","26.400","0.610","1014.100","","0.000","-99.000","-99.000","-99.000","31.900","","21.800",""
"C0U720","2019-09-23 00:00:00","1260.000","21.000","1.000","15.100","0.990","890.200","","0.500","-99.000","-99.000","-99.000","24.200","","15.100",""
"C0R690","2019-09-23 00:00:00","248.000","353.000","0.700","22.100","-99.000","986.100","","110.500","-99.000","-99.000","-99.000","23.600","","20.400",""
"C0X150","2019-09-23 00:00:00","18.000","2.000","2.200","24.100","0.810","1013.300","","0.000","-99.000","-99.000","-99.000","30.600","","24.100",""
"C0Z050","2019-09-23 00:00:00","830.000","0.000","0.000","18.300","0.990","925.600","","15.500","-99.000","-99.000","-99.000","20.900","","18.300",""
"C0I490","2019-09-23 00:00:00","1601.000","188.000","2.600","14.500","0.990","843.900","","1.500","-99.000","-99.000","-99.000","17.800","","14.100",""
"C0I090","2019-09-23 00:00:00","910.000","191.000","0.800","19.700","0.730","914.700","","0.000","-99.000","-99.000","-99.000","24.400","","17.200",""
"C0X240","2019-09-23 00:00:00","394.000","190.000","0.700","19.300","0.890","970.500","","0.000","-99.000","-99.000","-99.000","29.100","","19.300",""
"C0C710","2019-09-23 00:00:00","143.000","145.000","0.300","19.600","0.970","1000.000","","0.000","-99.000","-99.000","-99.000","26.500","","18.500",""
"C0S990","2019-09-23 00:00:00","409.000","23.000","3.900","21.400","1.000","969.600","","51.000","-99.000","-99.000","-99.000","24.000","","21.300",""
"C0E850","2019-09-23 00:00:00","104.000","23.000","1.000","22.500","0.740","1002.900","","0.000","-99.000","-99.000","-99.000","28.200","","20.400",""
"C0T9B0","2019-09-23 00:00:00","558.000","263.000","0.900","19.400","0.860","954.400","","21.000","-99.000","-99.000","-99.000","21.500","","18.200",""
"C0G650","2019-09-23 00:00:00","34.000","30.000","0.300","23.000","0.920","1010.100","","0.000","-99.000","-99.000","-99.000","30.800","","22.500",""
"C0K580","2019-09-23 00:00:00","26.000","352.000","1.600","23.000","0.730","1012.300","","0.000","-99.000","-99.000","-99.000","30.400","","22.400",""
"C0X050","2019-09-23 00:00:00","25.000","31.000","1.200","22.800","0.870","1010.200","","0.000","-99.000","-99.000","-99.000","31.900","","22.800",""
